<oov>	oov
丘	j ɐu
丙	p ɪ ŋ
丞	s ɪ ŋ
丟	t i:u
両	l œ: ŋ
並	p ɪ ŋ
並	p ɔ: ŋ
丫	a:
中	t s ʊ ŋ
丰	f ʊ ŋ
串	t sʰ y: n
串	k w a: n
丶	t s y:
丸	j y: n
丹	t a: n
主	t s y:
丼	t s ɛ: ŋ
丼	t s ɪ ŋ
乃	ɔ:i
乃	n a:i
久	k ɐu
义	j i:
之	t s i:
乍	t s a:
乍	t s ɔ: k
乎	f u:
乎	w u:
乏	f ɐ t
乒	pʰ ɪ ŋ
乒	p ɪ ŋ
乓	p ɐ m
乓	pʰ ɔ: ŋ
乖	k w a:i
乘	s ɪ ŋ
乙	j y: t
乜	m i:
乜	m ɛ:
乜	m ɐ t
乜	n ɛ:
九	k ɐu
乞	h ɐ t
也	j a:
乳	j y:
乸	n a:
乸	l a:
乾	k ɔ: n
乾	kʰ i: n
亂	l y: n
了	l i:u
予	j y:
事	s i:
二	j i:
于	j y:
云	w ɐ n
互	w u:
五	ŋ
井	t s ɛ: ŋ
井	t s ɪ ŋ
些	s ɛ:
亞	a:
亞	ŋ a:
亡	m ɔ: ŋ
亡	m ou
亢	kʰ ɔ: ŋ
亢	k ɔ: ŋ
交	k a:u
亦	j ɪ k
亨	pʰ a: ŋ
亨	h ɐ ŋ
享	h œ: ŋ
京	k ɪ ŋ
亭	tʰ ɪ ŋ
亮	l œ: ŋ
人	j ɐ n
什	t s a: p
什	s ɐ p
什	s ɐ m
仁	j ɐ n
仆	f u:
仆	pʰ ʊ k
仇	s ɐu
仇	kʰ ɐu
仇	t sʰ ɐu
今	k ɐ m
介	k a:i
仍	j ɪ ŋ
仔	t s i:
仔	t s ɐi
仕	s i:
他	tʰ a:
仗	t s œ: ŋ
付	f u:
仙	s i: n
仞	j ɐ n
代	t ɔ:i
令	l ɪ ŋ
令	l i: m
以	j i:
以	j y:
仰	j œ: ŋ
仰	ŋ ɔ: ŋ
仱	kʰ œ: ŋ
仲	t s ʊ ŋ
件	k i: n
任	j ɐ m
份	p ɐ n
份	f ɐ n
仿	f ɔ: ŋ
企	kʰ ei
伊	j i:
伍	ŋ
伏	p ʊ k
伏	f ʊ k
伐	f ɐ t
休	j ɐu
伙	f ɔ:
伯	p a: k
伯	p a:
估	k u:
伴	pʰ u: n
伴	p u: n
伶	l ɪ ŋ
伸	s ɐ n
似	t sʰ i:
伽	kʰ ɛ:
伽	k a:
佃	tʰ i: n
佃	t i: n
但	t a: n
佈	p ou
位	w ɐi
低	t ɐi
住	t s y:
佐	t s ɔ:
佑	j ɐu
佔	t s i: m
何	h ɔ:
佗	tʰ ɔ:
佗	tʰ a:
余	j y:
佚	j ɐ t
佛	p ɐ t
佛	f ɐ t
作	t s ɔ: k
你	n ei
佢	h ɵy
佢	kʰ ɵy
佣	j ʊ ŋ
佩	pʰ u:i
佬	l ou
佰	p a: k
佳	k a:i
併	p ɪ ŋ
併	pʰ ɪ ŋ
佻	tʰ i:u
使	s i:
使	s ɐi
侄	t s ɪ k
來	l ɔ:i
來	l ɐi
例	l ɐi
侍	s i:
供	k ʊ ŋ
依	j i:
侮	m ou
侯	h ɐu
侵	t sʰ ɐ m
侶	l ɵy
便	p i: n
便	pʰ i: n
係	h ɐi
促	t sʰ ʊ k
俄	ŋ ɔ:
俊	t s ɵ n
俎	t s ɔ:
俏	t sʰ i:u
俐	l ei
俗	t s ʊ k
俚	l ei
保	p ou
俠	h ɐ p
俠	h a: p
信	s ɵ n
俬	s i:
修	s ɐu
俯	f u:
俱	kʰ ɵy
俱	k ɵy
俸	f ʊ ŋ
俹	ŋ a:
俾	p ei
倉	t sʰ ɔ: ŋ
個	k ɔ:
倍	pʰ u:i
們	m u: n
倒	t ou
候	h ɐu
倚	j i:
借	t s ɛ:
倦	k y: n
倫	l ɵ n
值	t s ɪ k
假	k a:
偈	k i: t
偈	k ɐi
偉	w ɐi
偏	pʰ i: n
偕	k a:i
做	t s ou
停	tʰ ɪ ŋ
健	k i: n
側	t s ɐ k
偶	ŋ ɐu
偷	tʰ ɐu
偽	ŋ ɐi
傅	f u:
傍	pʰ ɔ: ŋ
傍	p ɔ: ŋ
傑	k i: t
傘	s a: n
備	p ei
傢	k a:
催	t sʰ ɵy
傭	j ʊ ŋ
傲	ŋ ou
傳	t s y: n
傳	t sʰ y: n
債	t s a:i
傷	s œ: ŋ
傻	s ɔ:
傾	kʰ ɪ ŋ
僅	k ɐ n
像	t s œ: ŋ
僑	kʰ i:u
僕	p ʊ k
僚	l i:u
僧	s ɐ ŋ
僧	t s ɐ ŋ
僭	t s i: m
僭	t sʰ i: m
僱	k u:
價	k a:
僻	pʰ ɪ k
僻	p u:i
儀	j i:
億	j ɪ k
儈	kʰ u:i
儍	s ɔ:
儒	j y:
儘	t s ɵ n
優	j ɐu
儬	t sʰ ɐu
儲	t sʰ ou
儲	t sʰ y:
允	w ɐ n
元	j y: n
兄	h ɪ ŋ
充	t sʰ ʊ ŋ
兆	s i:u
兆	t s i:u
兇	h ʊ ŋ
先	s i: n
光	k w ɔ: ŋ
克	h a: k
克	h ɐ k
兌	t ɵy
免	m i: n
免	m ɐ n
兒	ŋ ɐi
兒	j i:
兔	tʰ ou
兜	t ɐu
入	j ɐ p
內	n a: p
內	n ɔ:i
全	t sʰ y: n
兩	l œ: ŋ
八	p a: t
公	k ʊ ŋ
六	l ʊ k
兮	h ɐi
共	k ʊ ŋ
兵	p ɪ ŋ
其	k ei
其	kʰ ei
具	k ɵy
典	t i: n
兼	k i: m
内	n ɔ:i
冇	m ou
冊	t sʰ a: k
再	t s ɔ:i
冒	m ou
冒	m ɐ k
冕	m i: n
冗	j ʊ ŋ
冚	h ɐ m
冚	kʰ ɐ m
冚	k ɐ m
冠	k u: n
冤	j y: n
冧	l ɐ m
冧	n ɐ m
冬	t ʊ ŋ
冰	p ɪ ŋ
冷	l a: ŋ
准	t s ɵ n
凈	t s ɛ: ŋ
凈	t s ɪ ŋ
凌	l ɪ ŋ
凍	t ʊ ŋ
凝	kʰ ɪ ŋ
凝	j ɪ ŋ
几	k ei
凡	f a: n
凰	w ɔ: ŋ
凱	ŋ ɔ:i
凱	h ɔ:i
凳	t ɐ ŋ
凶	h ʊ ŋ
凹	n ɐ p
凹	w a:
凹	l ɐ p
凹	a:u
出	t sʰ ɵ t
函	h a: m
刀	t ou
刁	t i:u
刃	j ɐ n
分	f ɐ n
切	t sʰ i: t
切	t sʰ ɐi
刊	h ɔ: n
刑	j ɪ ŋ
划	w a:
列	l a: t
列	l i: t
初	t sʰ ɔ:
判	pʰ u: n
別	p i: t
刨	pʰ a:u
利	l ei
刮	k w a: t
到	t ou
制	t s ɐi
刷	s a: t
刷	t sʰ a: t
券	h y: n
券	k y: n
刺	s ɪ k
刺	t sʰ ɪ k
刺	t sʰ i:
刺	t sʰ ɛ: k
刻	h a: k
刻	h ɐ k
剃	tʰ ɐi
則	t s ɐ k
前	t sʰ i: n
剎	s a: t
剎	t sʰ a: t
剔	tʰ ɪ k
剛	k ɔ: ŋ
剝	m ɔ: k
剝	p ɔ: k
剩	s ɪ ŋ
剩	t s ɪ ŋ
剪	t s i: n
副	f u:
割	k ɔ: t
創	t sʰ ɔ: ŋ
剷	t sʰ a: n
劃	w a: k
劇	kʰ ɛ: k
劈	pʰ ɪ k
劈	pʰ ɛ: k
劉	l ɐu
劊	k u:i
劊	kʰ u:i
劍	k i: m
劏	tʰ ɔ: ŋ
劑	t s ɐi
劖	t sʰ a: m
力	l ɪ k
功	k ʊ ŋ
加	k a:
劣	l y: t
助	t s ɔ:
努	n ou
劫	k i: p
勁	k ɪ ŋ
勃	p u: t
勇	j ʊ ŋ
勉	m i: n
勒	l ɐ k
勒	l a: k
動	t ʊ ŋ
勘	h ɐ m
務	m ou
勝	s ɪ ŋ
勞	l ou
勢	s ɐi
勤	kʰ ɐ n
勳	f ɐ n
勵	l ɐi
勸	h y: n
勻	w ɐ n
勾	ɐu
勾	ŋ ɐu
勾	k ɐu
勿	m ɐ t
包	p a:u
匈	h ʊ ŋ
化	f a:
北	p a: k
北	p ɐ k
匙	s i:
匙	t sʰ i:
匠	t s œ: ŋ
匡	h ɔ: ŋ
匯	w u:i
匹	pʰ ɐ t
匿	l ei
匿	n ɪ k
匿	n ei
區	kʰ ɵy
區	ɐu
十	s ɐ p
千	t sʰ i: n
升	s ɪ ŋ
午	ŋ
半	p u: n
卑	p ei
卒	t sʰ y: t
卒	t s ɵ t
卓	t s œ: k
卓	t sʰ œ: k
協	h i: p
南	n a: m
博	p ɔ: k
卜	p ʊ k
占	t s i: m
占	t s ɛ: m
卡	kʰ a:
卡	kʰ a: t
卦	k w a:
卧	ŋ ɔ:
印	ŋ ɐ n
印	j ɐ n
危	ŋ ɐi
即	t s ɪ k
卵	l ɵ n
卷	k y: n
卷	kʰ y: n
卸	s ɛ:
卻	kʰ œ: k
卿	h ɪ ŋ
厄	a: k
厄	ɐ k
厘	l ei
厚	h ɐu
原	j y: n
厥	kʰ y: t
厭	j i: m
厲	l ɐi
厴	j i: m
去	h ɵy
參	s a: m
參	s ɐ m
參	t sʰ ɐ m
參	t sʰ a: m
又	j ɐu
叉	t sʰ a:
及	kʰ ɐ p
及	k ɐ p
友	j ɐu
反	f a: n
叔	s ʊ k
取	t sʰ ɵy
受	s ɐu
叛	p u: n
叢	t sʰ ʊ ŋ
口	h ɐu
古	k u:
句	k ɵy
句	k ɐu
另	l ɪ ŋ
叨	tʰ ou
叨	t ou
只	t s ɛ: k
只	t s i:
叫	k i:u
召	s i:u
召	t s i:u
叭	p a:
叮	t ɪ ŋ
可	h ɐ k
可	h ɔ:
台	tʰ ɔ:i
台	j i:
史	s i:
右	j ɐu
司	s i:
叻	l ɪ k
叻	l ɛ: k
叻	l ɐ k
吃	j a: k
吃	h ɐ t
吃	k ɐ t
吃	h ɛ: k
各	k ɔ: k
各	k ɔ:
合	k ɐ p
合	h ɐ p
合	k a: p
吉	k ɐ t
吊	t i:u
吋	t sʰ y: n
同	tʰ ʊ ŋ
名	m ɛ: ŋ
名	m ɪ ŋ
后	h ɐu
吐	tʰ ou
向	h œ: ŋ
吓	h a:
吖	a:
君	k w ɐ n
吝	l ɵ n
吞	tʰ ɐ n
吟	ŋ ɐ m
吟	ɐ m
吟	j ɐ m
吠	f ɐi
否	f ɐu
否	pʰ ei
吧	p a:
吩	f ɐ n
含	h ɐ m
吱	t s i:
吳	ŋ
吵	t sʰ a:u
吶	n a: p
吶	n ɐ t
吶	n ɵ t
吸	kʰ ɐ p
吸	ŋ ɐ p
吹	t sʰ ɵy
吻	m ɐ n
吼	h a:u
吼	h ɐu
吽	ɐu
吽	ŋ ɐu
吽	h ʊ ŋ
吾	ŋ
呀	a:
呂	l ɵy
呃	a: k
呃	ŋ a: k
呃	ɐ k
呆	t a:i
呆	ŋ ɔ:i
呈	t sʰ ɪ ŋ
告	k ou
告	k ʊ k
呎	t sʰ ɛ: k
呔	tʰ a:i
呢	n ɛ:
呢	l i:
呢	n i:
呢	n ei
周	t s ɐu
呱	w a:
呱	k w a:
呱	k u:
味	m ei
呷	h a: p
呻	s ɐ n
呼	f u:
命	m ɛ: ŋ
命	m ɪ ŋ
咀	t s ɵy
咁	k ɐ m
咄	t sʰ y: t
咄	t ɵ t
咇	p i: t
咇	p ɐ t
咋	t s a:
咋	t s a: k
和	w ɔ:
咐	f u:
咒	t s ɐu
咕	k u:
咖	kʰ a:
咖	k a:
咗	t s ɔ:
咚	t ʊ ŋ
咦	j i:
咧	l ɛ:
咩	m ɛ:
咪	m ɐi
咬	ŋ a:u
咯	l ɔ: k
咯	l ɔ:
咯	k a: k
咳	h a:i
咳	kʰ ɐ t
咳	kʰ ɔ:i
咳	h ɔ:i
咸	h a: m
咹	h ɔ: n
咽	j i: n
咽	j i: t
咿	j i:
哀	ɔ:i
品	p ɐ n
哂	t sʰ ɐ n
哂	s a:i
哄	h ʊ ŋ
哇	w a:
哈	h a:
哉	t s ɔ:i
哋	t ei
哋	t i:
响	h œ: ŋ
哎	a:i
哎	ɐi
員	j y: n
員	w ɐ n
哣	t ɐu
哥	k ɔ:
哦	ɔ:
哦	ŋ ɔ:
哨	s a:u
哩	l ei
哩	l ɛ:
哩	n i:
哩	l i:
哪	n a:
哭	h ʊ k
哲	t s i: t
哺	p ou
哼	ŋ
哼	h ŋ̩
哼	h ɐ ŋ
唂	k ʊ k
唇	t sʰ ɵ n
唈	j ɐ p
唉	a:i
唉	ɔ:i
唎	l ɛ:
唎	l ei
唎	l i:
唏	h ei
唐	tʰ ɔ: ŋ
唔	ŋ
唔	m̩
唞	tʰ ɐu
唥	l a: ŋ
唥	l ɐ ŋ
唧	t s ɛ: k
唧	t s i: t
唧	t s ɪ k
唪	f ʊ ŋ
售	s ɐu
唯	w ɐi
唱	t sʰ œ: ŋ
唸	n ɐ m
唸	l ɐ m
唸	n i: m
啄	t œ: k
啄	t œ: ŋ
啅	t œ: k
商	s œ: ŋ
啊	a:
啋	t sʰ ɔ:i
啍	tʰ ɵ n
啍	t s ɵ n
問	m ɐ n
啕	tʰ ou
啖	t a: m
啜	t s y: t
啞	a:
啞	ɐ k
啟	kʰ ɐi
啡	f ɛ:
啡	f ei
啤	p i:
啤	p ɛ:
啤	pʰ ɛ:
啦	l a:
啩	k w a:
啪	pʰ a: k
啫	t s ɛ:
啫	t s ɛ: k
啱	a: m
啱	ŋ a: m
啲	t i:
啵	p ɔ:
啼	tʰ ɐi
啾	t s ɐu
喀	kʰ ɐ k
喀	h a: k
喀	kʰ a:
喂	w ɐi
喃	n a: m
善	s i: n
喇	l a:
喉	h ɐu
喊	h a: m
喊	h ɐ m
喎	w ɔ:
喎	w a:
喐	j ʊ k
喔	ɔ:
喔	ɐ k
喘	t sʰ y: n
喙	f u:i
喚	w u: n
喚	f u: n
喜	h ei
喝	h ɔ: t
喪	s ɔ: ŋ
喫	j a: k
喫	h ɛ: k
喬	kʰ i:u
單	s i: n
單	t a: n
喱	l ei
喳	t s a:
喳	t sʰ a:
喺	h ɐi
喻	j y:
喼	k i: p
喼	kʰ ɛ: p
喼	k ɛ: p
喼	kʰ i: p
嗅	t sʰ ɐu
嗅	h ʊ ŋ
嗇	s ɪ k
嗌	ŋ a:i
嗌	j ɪ k
嗌	a:i
嗎	m a:
嗒	tʰ a: p
嗒	t a: p
嗒	tʰ ɐ p
嗒	t ɐ p
嗚	w u:
嗜	s i:
嗟	t s ɛ:
嗡	j ʊ ŋ
嗤	t sʰ i:
嗦	s ɔ:
嗰	k ɔ:
嗱	n a:
嗱	l a:
嗲	t ɛ:
嗶	p ɐ t
嗷	ŋ ou
嗽	s ɐu
嘅	k ɛ:
嘅	kʰ ɔ:i
嘆	tʰ a: n
嘈	t sʰ ou
嘉	k a:
嘎	k a:
嘔	ɐu
嘔	ŋ ɐu
嘗	s œ: ŋ
嘛	m a:
嘜	m ɐ k
嘞	l a: k
嘞	l ɐ k
嘟	t ou
嘢	j ɛ:
嘥	s a:i
嘩	j i: p
嘩	w a:
嘲	t s a:u
嘴	t s ɵy
嘸	m ou
嘸	m̩
嘸	f u:
嘻	h ei
嘿	h ei
噁	ŋ ɔ: k
噁	ɔ: k
噃	p ɔ:
噄	kʰ ɐu
噉	t a: m
噉	k ɐ m
噌	t sʰ ɐ ŋ
噌	t s ɐ ŋ
噎	j i: t
噏	ɐ p
噏	ŋ ɐ p
噓	h ɛ:u
噓	h ɵy
噚	t sʰ ɐ m
噤	kʰ ɐ m
噤	k ɐ m
器	h ei
噩	ŋ ɔ: k
噪	t sʰ ou
噬	s ɐi
噴	pʰ ɐ n
噴	f ɐ n
噶	k a:
噹	t ɔ: ŋ
嚇	h a: k
嚎	h ou
嚐	s œ: ŋ
嚕	l ou
嚟	l ɐi
嚟	l ei
嚡	h a:i
嚢	n ɔ: ŋ
嚥	j i: n
嚥	j i: t
嚨	l ʊ ŋ
嚴	j i: m
嚷	j œ: ŋ
嚼	t s œ: k
嚼	t s i:u
嚿	k ɐu
囉	l ɔ:
囊	n ɔ: ŋ
囌	s ou
囍	h ei
囑	t s ʊ k
囚	t sʰ ɐu
四	s i:
四	s ei
囝	t s ɔ:i
囝	t s ɐi
囝	n a: m
回	w u:i
因	j ɐ n
囡	n ɵy
囡	n a: m
囡	l ɵy
囪	t sʰ ʊ ŋ
囪	t sʰ œ: ŋ
困	kʰ w ɐ n
固	k u:
圃	p ou
圃	pʰ ou
圈	k y: n
圈	h y: n
國	k w ɔ: k
圍	w ɐi
圑	j y: n
園	j y: n
圓	j y: n
圖	tʰ ou
團	tʰ y: n
土	tʰ ou
在	t s ɔ:i
圭	k w ɐi
地	t ei
地	t ɛ: ŋ
圳	t s ɐ n
圾	s a: p
圾	kʰ ɐ p
址	t s i:
均	kʰ w ɐ n
均	k w ɐ n
均	w ɐ n
坊	f ɔ: ŋ
坎	h ɐ m
坐	t sʰ ɔ:
坐	t s ɔ:
坑	h a: ŋ
坡	pʰ ɔ:
坡	p ɔ:
坤	kʰ w ɐ n
坦	tʰ a: n
坪	pʰ ɪ ŋ
坭	n ɐi
坳	a:u
坷	h ɔ:
垂	s ɵy
垃	l a: p
型	j ɪ ŋ
垢	k ɐu
埃	a:i
埃	ɔ:i
埋	m a:i
城	s ɪ ŋ
城	s ɛ: ŋ
埔	p ou
埗	p ou
埞	t ɛ: ŋ
域	w ɪ k
埠	f ɐu
埠	p ou
埲	p ɔ: ŋ
埲	p ʊ ŋ
埲	pʰ ʊ ŋ
執	t s ɐ p
培	pʰ u:i
基	k ei
埼	kʰ ei
堂	tʰ ɔ: ŋ
堅	k i: n
堆	t ɵy
堡	p ou
堤	tʰ ɐi
堪	h ɐ m
報	p ou
場	t sʰ œ: ŋ
堵	t ou
塊	f a:i
塑	s ou
塑	s ɔ: k
塔	tʰ a: p
塗	tʰ ou
塘	tʰ ɔ: ŋ
塞	s ɐ k
塞	t sʰ ɔ:i
塢	w u:
填	tʰ i: n
塱	l ɔ: ŋ
塵	t sʰ ɐ n
塾	s ʊ k
墀	t sʰ i:
境	k ɪ ŋ
墅	s ɵy
墊	t i: n
墊	t i: m
墊	t s i: n
墓	m ou
墜	t s ɵy
增	t s ɐ ŋ
墟	h ɵy
墨	m ɐ k
墩	t ɐ n
墩	t ɵ n
墮	t ɔ:
墮	f ɐi
墳	f ɐ n
壁	p ɛ: k
壁	p ɪ k
壆	p ɔ: k
壇	tʰ a: n
壓	a: t
壓	ŋ a: t
壘	l ɵ t
壘	l ɵy
壞	w a:i
壟	l ʊ ŋ
壩	p a:
士	s i:
壯	t s ɔ: ŋ
壹	j ɪ k
壹	j ɐ t
壺	w u:
壽	s ɐu
夏	h a:
夕	t s ɪ k
外	ŋ ɔ:i
外	ɔ:i
多	t ɔ:
夜	j ɛ:
夠	k ɐu
夢	m ʊ ŋ
夥	f ɔ:
大	t a:i
天	tʰ i: n
太	tʰ a:i
夫	f u:
央	j œ: ŋ
失	s ɐ t
夷	j i:
夾	k a: p
夾	k i: p
夾	k ɛ: p
夾	k ɐ p
奀	ɐ n
奀	ŋ ɐ n
奄	j i: m
奇	k ei
奇	kʰ ei
奈	n ɔ:i
奉	f ʊ ŋ
奏	t s ɐu
契	kʰ ɐi
契	s i: t
契	kʰ i: t
奔	p ɐ n
奕	j ɪ k
套	tʰ ou
奚	h ɐi
奧	ou
奪	t y: t
奮	f ɐ n
女	n ɵy
女	j y:
女	l ɵy
奴	n ou
奶	l a:i
奶	n a:i
奸	k a: n
她	tʰ a:
她	j i:
好	h ou
如	j y:
妄	m ɔ: ŋ
妒	t ou
妓	k ei
妙	m i:u
妝	t s ɔ: ŋ
妥	tʰ ɔ:
妨	f ɔ: ŋ
妳	l ei
妳	n ei
妳	n a:i
妹	m u:i
妻	t sʰ ɐi
妾	t sʰ i: p
姆	m ou
姊	t s ɛ:
姊	t s i:
始	t sʰ i:
姐	t s ɛ:
姑	k u:
姓	s ɪ ŋ
姓	s ɛ: ŋ
委	w ɐi
姜	k œ: ŋ
姣	h a:u
姣	k a:u
姦	k a: n
姨	j i:
姬	k ei
姻	j ɐ n
姿	t s i:
威	w ɐi
娃	w a:
娘	n œ: ŋ
娛	j y:
娜	n a:
娜	n ɔ:
娥	ŋ ɔ:
娶	t sʰ ɵy
婆	pʰ ɔ:
婚	f ɐ n
婢	pʰ ei
婦	f u:
婷	tʰ ɪ ŋ
媒	m u:i
媚	m ei
媽	m a:
媾	k ɐu
嫁	k a:
嫂	s ou
嫉	t s ɐ t
嫌	j i: m
嫩	l y: n
嫩	n y: n
嫪	l ou
嫲	m a:
嫻	h a: n
嬉	h ei
嬌	k i:u
嬲	l ɐu
嬲	n i:u
嬲	n ɐu
嬸	s ɐ m
子	t s i:
孔	h ʊ ŋ
孕	j ɐ n
孖	m a:
字	t s i:
存	t sʰ y: n
孚	f u:
孝	h a:u
孟	m a: ŋ
季	k w ɐi
孤	k u:
孥	n ou
孩	h a:i
孩	h ɔ:i
孫	s y: n
孭	m ɛ:
孰	s ʊ k
孱	t sʰ a: n
孱	s a: n
學	h ɔ: k
孽	j i: p
孽	j i: t
它	tʰ ɔ:
它	tʰ a:
宅	t s a: k
宇	j y:
守	s ɐu
安	ŋ ɔ: n
安	ɔ: n
宋	s ʊ ŋ
完	j y: n
宏	w ɐ ŋ
宗	t s ʊ ŋ
官	k u: n
宙	t s ɐu
定	t ɛ: ŋ
定	t ɪ ŋ
宛	j y: n
宜	j i:
客	h a: k
宣	s y: n
室	s ɐ t
宮	k ʊ ŋ
宰	t s ɔ:i
害	h ɔ:i
害	h ɔ: t
宴	j i: n
宵	s i:u
家	k a:
家	k u:
宸	s ɐ n
容	j ʊ ŋ
宿	s ɐu
宿	s ʊ k
寂	t s ɪ k
寃	j y: n
寄	k ei
寅	j ɐ n
密	m ɐ t
寇	kʰ ɐu
富	f u:
寒	h ɔ: n
寓	j y:
寞	m ɔ: k
察	t sʰ a: t
寡	k w a:
寢	t sʰ ɐ m
實	s ɐ t
寧	n ɪ ŋ
寨	t s a:i
寨	t s ɐi
審	s ɐ m
寫	s ɛ:
寬	f u: n
寮	l i:u
寰	w a: n
寵	t sʰ ʊ ŋ
寶	p ou
寸	t sʰ y: n
寺	t s i:
封	f ʊ ŋ
射	s ɛ:
射	j ɛ:
射	j ɪ k
將	t s œ: ŋ
專	t s y: n
尊	t s ɵ n
尊	t s y: n
尋	t sʰ ɐ m
對	t ɵy
導	t ou
小	s i:u
少	s i:u
尖	t s i: m
尚	s œ: ŋ
尤	j ɐu
尬	k a:i
就	t s ɐu
尷	k a: m
尺	t sʰ ɛ:
尺	t sʰ ɛ: k
尼	n ei
尾	m ei
尿	s ɵy
尿	n i:u
局	k ʊ k
屁	pʰ ei
居	k ɵy
屆	k a:i
屈	w ɐ t
屋	ʊ k
屋	ŋ ʊ k
屌	t i:u
屍	s i:
屎	s i:
屎	h ei
屏	pʰ ɛ: ŋ
屏	p ɪ ŋ
屏	pʰ ɪ ŋ
屐	kʰ ɛ: k
屑	s i: t
展	t s i: n
屙	ŋ ɔ:
屙	ɔ:
屠	tʰ ou
層	t sʰ ɐ ŋ
履	l ei
履	l ɵy
屬	t s ʊ k
屬	s ʊ k
屯	tʰ y: n
屯	t s ɵ n
山	s a: n
屹	ŋ ɐ t
岀	t sʰ ɵy
岑	s ɐ m
岡	k ɔ: ŋ
岩	ŋ a: m
岬	k a: p
岳	ŋ ɔ: k
岸	ŋ ɔ: n
峒	t ʊ ŋ
峒	tʰ ʊ ŋ
峨	ŋ ɔ:
峯	f ʊ ŋ
峰	f ʊ ŋ
島	t ou
峻	t s ɵ n
峽	h a: p
崆	h ʊ ŋ
崇	s ʊ ŋ
崎	kʰ ei
崗	k ɔ: ŋ
崙	l ɵ n
崧	s ʊ ŋ
崩	p ɐ ŋ
嵋	m ei
嵌	h ɐ m
嵌	h a: m
嵬	ŋ ɐi
嶄	t s a: m
